split_id,region,pixels,positives,roc_auc,average_precision,top1_selected_pixels,top1_captured_positives,top1_recall,top1_precision,top1_enrichment,top5_selected_pixels,top5_captured_positives,top5_recall,top5_precision,top5_enrichment,top10_selected_pixels,top10_captured_positives,top10_recall,top10_precision,top10_enrichment
1,validation,529921,16,0.8292993555448618,0.0011364438336379304,5300,3,0.1875,0.0005660377358490566,18.75,26497,8,0.5,0.00030192097218553044,10.0,52993,10,0.625,0.0001887041684750816,6.25
1,holdout,356915,5,0.98024151746939,0.00040667652204161054,3570,0,0.0,0.0,0.0,17846,5,1.0,0.00028017482909335425,20.0,35692,5,1.0,0.00014008741454667713,10.0
2,validation,538756,14,0.8742755610026957,0.0003403559199362175,5388,2,0.14285714285714285,0.0003711952487008166,14.285714285714285,26938,8,0.5714285714285714,0.00029697824634345533,11.428571428571427,53876,10,0.7142857142857143,0.0001856114039646596,7.142857142857142
2,holdout,356915,5,0.9719481101678293,0.0003015354114695084,3570,0,0.0,0.0,0.0,17846,4,0.8,0.0002241398632746834,16.0,35692,5,1.0,0.00014008741454667713,10.0
3,validation,538756,8,0.9916650502646878,0.00268215509525181,5388,5,0.625,0.0009279881217520415,62.5,26938,8,1.0,0.00029697824634345533,20.0,53876,8,1.0,0.00014848912317172767,10.0
3,holdout,356915,5,0.9608539968059174,0.00021461462772932524,3570,0,0.0,0.0,0.0,17846,4,0.8,0.0002241398632746834,16.0,35692,5,1.0,0.00014008741454667713,10.0
4,validation,524812,24,0.8565129712696683,0.0009504441523474443,5249,8,0.3333333333333333,0.0015240998285387694,33.33333333333333,26241,20,0.8333333333333334,0.0007621660759879578,16.666666666666668,52482,20,0.8333333333333334,0.0003810830379939789,8.333333333333334
4,holdout,356915,5,0.9626841500658428,0.0002603566624565897,3570,1,0.2,0.00028011204481792715,20.0,17846,2,0.4,0.0001120699316373417,8.0,35692,5,1.0,0.00014008741454667713,10.0
5,validation,538756,4,0.9984227436742694,0.019182622614669177,5388,4,1.0,0.0007423904974016332,100.0,26938,4,1.0,0.00014848912317172767,20.0,53876,4,1.0,7.424456158586383e-05,10.0
5,holdout,356915,5,0.971112885601412,0.0002803047737382203,3570,0,0.0,0.0,0.0,17846,5,1.0,0.00028017482909335425,20.0,35692,5,1.0,0.00014008741454667713,10.0
6,validation,529921,16,0.7915849303176984,0.0007445767411359344,5300,2,0.125,0.0003773584905660377,12.5,26497,4,0.25,0.00015096048609276522,5.0,52993,6,0.375,0.00011322250108504896,3.75
6,holdout,378338,12,0.5132112692933256,5.8192761312769406e-05,3784,0,0.0,0.0,0.0,18917,1,0.08333333333333333,5.2862504625469154e-05,1.6666666666666665,37834,2,0.16666666666666666,5.2862504625469154e-05,1.6666666666666665
7,validation,538756,14,0.8260890317496262,0.00022082533973077903,5388,2,0.14285714285714285,0.0003711952487008166,14.285714285714285,26938,5,0.35714285714285715,0.0001856114039646596,7.142857142857142,53876,8,0.5714285714285714,0.00014848912317172767,5.7142857142857135
7,holdout,378338,12,0.4301597696166798,0.00010968994813338356,3784,1,0.08333333333333333,0.0002642706131078224,8.333333333333332,18917,1,0.08333333333333333,5.2862504625469154e-05,1.6666666666666665,37834,2,0.16666666666666666,5.2862504625469154e-05,1.6666666666666665
8,validation,538756,8,0.9873927606227773,0.006113297211968264,5388,5,0.625,0.0009279881217520415,62.5,26938,8,1.0,0.00029697824634345533,20.0,53876,8,1.0,0.00014848912317172767,10.0
8,holdout,378338,12,0.5191890283335887,0.0007137748874555555,3784,1,0.08333333333333333,0.0002642706131078224,8.333333333333332,18917,1,0.08333333333333333,5.2862504625469154e-05,1.6666666666666665,37834,4,0.3333333333333333,0.00010572500925093831,3.333333333333333
9,validation,538756,4,0.9965382959135187,0.0026198225253660466,5388,3,0.75,0.0005567928730512249,75.0,26938,4,1.0,0.00014848912317172767,20.0,53876,4,1.0,7.424456158586383e-05,10.0
9,holdout,378338,12,0.44723499045796483,0.00014596948276327862,3784,1,0.08333333333333333,0.0002642706131078224,8.333333333333332,18917,2,0.16666666666666666,0.00010572500925093831,3.333333333333333,37834,3,0.25,7.929375693820373e-05,2.5
10,validation,529921,16,0.8195931346184694,0.0007329225097666667,5300,2,0.125,0.0003773584905660377,12.5,26497,5,0.3125,0.00018870060761595652,6.25,52993,9,0.5625,0.00016983375162757345,5.625
10,holdout,375951,12,0.5054792798831725,6.41617515919535e-05,3760,1,0.08333333333333333,0.00026595744680851064,8.333333333333332,18798,1,0.08333333333333333,5.319714863283328e-05,1.6666666666666665,37596,1,0.08333333333333333,2.659857431641664e-05,0.8333333333333333
