feature,importance
dist_faults,0.18813101574608512
shape_index,0.11451270973529336
lab_depth,0.11092145466840397
carbonate_host,0.09472250881156262
lithology_carbonate,0.0905934771236911
moho_depth,0.08368698590059664
mag_hgm,0.0804530013714586
gravity,0.0798119071282786
mag_rtp,0.06678538825658557
gravity_hgm,0.06032611842725586
lithology_siliciclastic,0.013222526229488591
lithology_unconsolidated,0.01081096384325061
lithology_igneous,0.005918103715518598
lithology_metamorphic,0.0001038390425306482
lithology_unknown,0.0
lithology_chemical,0.0
lithology_evaporite,0.0
