rank_by_holdout_average_precision,experiment_id,experiment_label,feature_count,mean_holdout_average_precision,mean_holdout_ap_skill_vs_baseline,mean_holdout_top1_recall,mean_holdout_top5_recall,mean_holdout_top10_recall,delta_holdout_ap_vs_full_baseline,delta_holdout_top5_recall_vs_full_baseline,notes
1,full_baseline,Full V4 feature set,17,0.0007241685996316082,45.72576256876977,0.11845238095238095,0.38625000000000004,0.47470238095238093,0.0,0.0,baseline_reference
2,no_lithology_onehot,Drop detailed one-hot lithology,9,0.0005205942191037251,27.01684598342373,0.11011904761904763,0.25059523809523815,0.4404166666666667,-0.00020357438052788317,-0.1356547619047619,
3,no_gravity,Drop gravity-related predictors,14,0.0003718263516426553,21.316325319908156,0.20029761904761903,0.3542261904761905,0.46678571428571425,-0.00035234224798895295,-0.032023809523809565,
4,no_magnetics,Drop magnetic predictors,15,0.00036722657889700814,24.940345791118922,0.1571428571428571,0.3140476190476191,0.43220238095238095,-0.0003569420207346001,-0.07220238095238096,
5,geology_only,Geology and faults only,10,0.0003420048749194677,27.014322292963804,0.2702380952380952,0.3354166666666667,0.4401785714285714,-0.00038216372471214054,-0.05083333333333334,
6,geophysics_only,Geophysics only,7,0.00023867643497962635,9.129013399887965,0.025,0.07916666666666666,0.19583333333333333,-0.00048549216465198185,-0.3070833333333334,
7,no_deep_lithosphere,Drop Moho and LAB,15,0.00023129385072639968,16.631188708070876,0.12351190476190474,0.3899404761904762,0.5225595238095238,-0.0004928747489052086,0.0036904761904761885,
8,no_lab_depth,Drop LAB depth,16,0.0001889329082204769,14.270869461169616,0.15476190476190474,0.3456547619047619,0.5053571428571428,-0.0005352356914111313,-0.04059523809523813,
9,carbonate_fault_only,Carbonate host plus fault distance only,2,0.00018721696057111137,14.336118740709239,0.20892857142857144,0.3095238095238095,0.3300595238095238,-0.0005369516390604968,-0.07672619047619056,
